Temperature(kT) 	 Energy 	 Magnetization 	 Specific Heat 	 Susceptibility 
3.410000	-0.002180	-34788600000.000000	0.057269	0.066732
3.420000	-0.000274	7642800000.000001	0.014129	0.117647
3.430000	-0.003504	37400400000.000000	0.069557	0.087887
3.440000	-0.006302	-72019800000.000000	0.225131	0.036965
3.450000	-0.009373	-84033000000.000000	0.302812	0.040327
3.460000	-0.006246	63804600000.000008	0.187307	0.134470
3.470000	-0.000858	19191600000.000000	0.022077	0.053581
3.480000	-0.011851	-81225000000.000000	0.278377	0.094083
3.490000	0.000198	-14677200000.000002	0.029946	0.184433
3.500000	-0.027654	127708200000.000015	0.738255	0.056425
3.510000	-0.005788	-49417200000.000000	0.104953	0.037733
3.520000	-0.019816	-112246200000.000000	0.507182	0.039536
3.530000	-0.004237	-44515800000.000000	0.091947	0.146919
3.540000	-0.006012	44065800000.000000	0.076444	0.045343
3.550000	-0.011644	76503600000.000000	0.228125	0.102435
3.560000	-0.000780	-7943400000.000001	0.007212	0.043853
3.570000	-0.007230	-63059400000.000008	0.174003	0.035770
3.580000	-0.002073	-21295800000.000000	0.020851	0.049758
3.590000	-0.009130	54468000000.000000	0.141806	0.152647
3.600000	-0.021384	-103084200000.000000	0.415037	0.132109
3.610000	-0.000907	-828000000.000000	0.032720	0.386901
3.620000	-0.001063	29035800000.000004	0.035318	0.025392
3.630000	-0.028111	-129288600000.000015	0.573696	0.020965
3.640000	-0.001057	-18277200000.000000	0.019737	0.087097
3.650000	-0.000411	14461200000.000002	0.018495	0.096943
3.660000	-0.000564	9657000000.000000	0.009397	0.053372
3.670000	-0.013223	88146000000.000000	0.294698	0.163559
3.680000	0.000242	-558000000.000000	0.007135	0.072848
3.690000	-0.010201	-80622000000.000000	0.234476	0.189858
3.700000	-0.000564	-11041200000.000000	0.029268	0.300603
3.710000	-0.010207	97119000000.000000	0.330005	0.018191
3.720000	-0.000443	11494800000.000000	0.011887	0.070556
3.730000	-0.000572	12587400000.000000	0.010031	0.046659
3.740000	-0.004150	-41205600000.000000	0.079433	0.154410
3.750000	-0.005496	61671600000.000008	0.129455	0.059292
3.760000	-0.010491	-83869200000.000000	0.234269	0.039198
3.770000	-0.032340	134528400000.000015	0.595429	0.029333
3.780000	-0.001177	22924800000.000000	0.025299	0.065943
3.790000	-0.003447	-37852200000.000000	0.062641	0.167243
3.800000	-0.005838	45475200000.000000	0.089463	0.155509
3.810000	-0.000230	15465600000.000002	0.009250	0.020220
3.820000	-0.002386	-18957600000.000000	0.041682	0.312964
3.830000	-0.001266	-18588600000.000000	0.020684	0.091389
3.840000	0.000209	2842200000.000000	0.004703	0.055227
3.850000	-0.004854	47883600000.000000	0.082269	0.069439
3.860000	-0.000963	21060000000.000000	0.023473	0.092587
3.870000	-0.003118	-44449200000.000000	0.068454	0.037065
3.880000	-0.003240	-40057200000.000000	0.054907	0.046799
3.890000	-0.004413	-57528000000.000008	0.124848	0.080094
3.900000	-0.017096	105847200000.000000	0.351819	0.054716
3.910000	-0.004836	30907800000.000004	0.052292	0.278843
3.920000	-0.024290	-120681000000.000015	0.456042	0.257677
3.930000	-0.003710	34291800000.000004	0.052513	0.265299
3.940000	-0.000713	-22435200000.000000	0.018643	0.039509
3.950000	-0.000614	-4770000000.000000	0.005216	0.055466
3.960000	-0.000141	11547000000.000000	0.005219	0.015406
3.970000	-0.007157	55819800000.000000	0.128187	0.280619
3.980000	-0.000220	-6350400000.000000	0.015164	0.157600
3.990000	-0.008490	60805800000.000008	0.143215	0.297779
4.000000	-0.001019	12283200000.000000	0.016063	0.152128
